movie_id,title,year,tmdb_id,directors,actors,genres,tags,avg_rating,rating_count
1,Toy Story,1995,862,,,Adventure Animation Children Comedy Fantasy,pixar animation disney tom hanks computer animation children funny witty,3.9212,49695
2,Jumanji,1995,8844,,,Adventure Children Fantasy,robin williams fantasy time travel animals board game children kid flick kirsten dunst,3.212,22243
3,Grumpier Old Men,1995,15602,,,Comedy Romance,moldy old sequel clv comedinha de velhinhos engraã§ada comedinha de velhinhos engraãƒâ§ada comedy funniest movies,3.151,12735
4,Waiting to Exhale,1995,31357,,,Comedy Drama Romance,characters chick flick clv revenge,2.8614,2756
5,Father of the Bride Part II,1995,11862,,,Comedy,steve martin family pregnancy wedding childhood classics clv comedy diane keaton,3.0646,12161
6,Heat,1995,949,,,Action Crime Thriller,al pacino robert de niro tense atmospheric great acting suspense michael mann crime,3.8349,23899
7,Sabrina,1995,11860,,,Comedy Romance,remake chick flick greg kinnear harrison ford romance based on a play finding yourself great cast,3.3665,12961
8,Tom and Huck,1995,45325,,,Adventure Children,adapted from:book author:mark twain based on a book library system mark twain peter hewitt seen,3.142,1415
9,Sudden Death,1995,9091,,,Action,jean-claude van damme peter hyams action can't remember clv,3.0049,3960
10,GoldenEye,1995,710,,,Action Adventure Thriller,james bond bond 007 pierce brosnan espionage action 007 (series) gadgets,3.43,29005
11,"American President, The",1995,9087,,,Comedy Drama Romance,politics aaron sorkin michael douglas president romance clever dialogue cute girlie movie,3.6677,18162
12,Dracula: Dead and Loving It,1995,12110,,,Comedy Horror,mel brooks spoof bd-r gothic leslie nielsen vampire,2.6198,3845
13,Balto,1995,21032,,,Adventure Animation Children,dogsled ei muista simon wells sort of boring wolves,3.2724,1461
14,Nixon,1995,10858,,,Drama,oliver stone politics based on a true story biographical president us president anthony hopkins biopic,3.4321,6022
15,Cutthroat Island,1995,1408,,,Action Adventure Romance,treasure pirates pirate action adventure better than i remembered big budget clv,2.722,2910
16,Casino,1995,524,,,Crime Drama,martin scorsese mafia robert de niro las vegas narrated violent based on a book gangsters,3.7875,17394
17,Sense and Sensibility,1995,4584,,,Drama Romance,jane austen british alan rickman based on a book hugh grant chick flick emma thompson romantic,3.9686,20667
18,Four Rooms,1995,5,,,Comedy,quentin tarantino multiple storylines tim roth tarantino antonio banderas robert rodriguez dark comedy hotel,3.3736,5203
19,Ace Ventura: When Nature Calls,1995,9273,,,Comedy,jim carrey detective comedy stupid as hell africa not my kind of comedy over the top steve oedekerk,2.6074,20938
20,Money Train,1995,11517,,,Action Comedy Crime Drama Thriller,afternoon section clv joseph ruben lame nudity (topless - brief) worthwhile,2.8808,4084
21,Get Shorty,1995,8012,,,Comedy Crime Thriller,hollywood gene hackman john travolta forgetable mafia satire:hollywood insiders author:elmore leonard crime,3.5817,24116
22,Copycat,1995,1710,,,Crime Drama Horror Mystery Thriller,thriller detective suspenseful serial killer agoraphobia claustrophobic detective thriller female protagonist,3.3194,9928
23,Assassins,1995,9691,,,Action Crime Thriller,sylvester stallone 2.5 afternoon section antonio banderas clv divx1 richard donner wachowski brothers,3.1482,4250
24,Powder,1995,12665,,,Drama Sci-Fi,albino special powers elegiac poignant pretentious reflective can't remember controversial,3.1998,7971
25,Leaving Las Vegas,1995,451,,,Drama Romance,melancholic nicolas cage alcoholism depressing atmospheric suicide nudity (topless) oscar (best actor),3.6895,21553
26,Othello,1995,16420,,,Drama,shakespeare based on a play nudity (topless) adapted from:play clv ei muista oliver parker playwright:shakespeare,3.6289,2755
27,Now and Then,1995,9263,,,Children Drama,a bit boring bechdel test:pass brendan fraser christina ricci demi moore friendship gaby hoffman janeane garofalo,3.4135,1642
28,Persuasion,1995,17015,,,Drama Romance,jane austen author:jane austen 18th century adapted from:book amanda root based on a book fiona shaw roger michell,4.0575,3154
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,902,,,Adventure Drama Fantasy Mystery Sci-Fi,dark surreal dystopia atmospheric weird dark fantasy steampunk visually appealing,3.9522,8520
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,37557,,,Crime Drama,gong li yimou zhang zhang yimou,3.6339,1281
31,Dangerous Minds,1995,9909,,,Drama,inspirational high school based on a book education michelle pfeiffer social commentary teacher teacher changing lives,3.2503,9435
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,63,,,Mystery Sci-Fi Thriller,time travel post-apocalyptic brad pitt twist ending bruce willis sci-fi dystopia original,3.8981,44980
33,Wings of Courage,1995,78802,,,Adventure Romance IMAX,imax 3-d stereoscopic 3-d,3.0077,65
34,Babe,1995,9598,,,Children Drama,talking animals pigs adventure animals animal movie overrated villain nonexistent or not needed for good story animal,3.6431,32255
35,Carrington,1995,47018,,,Drama Romance,entirely dialogue artist polyamory artists based on a book biopics bisexual bloomsbury group,3.5017,1493
36,Dead Man Walking,1995,687,,,Crime Drama,death penalty true story nun prison religion sean penn catholicism christianity,3.9427,20809
37,Across the Sea of Time,1995,139405,,,Documentary IMAX,bd-r imax 3-d stereoscopic 3-d,3.0176,85
38,It Takes Two,1995,33689,,,Children Comedy,twins andy tennant switching places twins/inter-related lives,2.8578,552
39,Clueless,1995,9603,,,Comedy Romance,teen movie alicia silverstone high school jane austen paul rudd chick flick teen funny,3.4136,26254
40,"Cry, the Beloved Country",1995,34615,,,Drama,south africa africa based on a book darrell roodt disk hulu in netflix queue racism,3.6467,886
41,Richard III,1995,31174,,,Drama War,ian mckellen shakespeare based on a play great acting playwright:shakespeare adapted from:play clv corrupt protagonist,3.8521,4689
42,Dead Presidents,1995,11443,,,Action Crime Drama,bank robbery clv eric's dvds,3.0551,2467
43,Restoration,1995,35196,,,Drama,historical 17th century clv england nudity (topless),3.4685,2552
44,Mortal Kombat,1995,9312,,,Action Adventure Fantasy,video game adaptation fight scenes fighting martial arts adapted from:game awesome soundtrack christopher lambert paul w.s. anderson,2.6539,10697
45,To Die For,1995,577,,,Comedy Drama Thriller,dark comedy 100 essential female performances joaquin phoenix journalism library wayne knight best performance:  nicole kidman as suzanne stone maretto bibliothek,3.3844,8933
46,How to Make an American Quilt,1995,11861,,,Drama Romance,women a chick flick based on a book bibliothek clv nudity (topless - brief) wedding,3.2749,3205
47,Seven (a.k.a. Se7en),1995,807,,,Mystery Thriller,serial killer twist ending morgan freeman brad pitt psychology kevin spacey disturbing great ending,4.0535,43249
48,Pocahontas,1995,10530,,,Animation Children Drama Musical Romance,disney cartoon disney animated feature animation disney renaissance interracial romance native americans 1600s,2.9461,13046
49,When Night Is Falling,1995,8391,,,Drama Romance,lesbian circus gay nudity (topless - notable) nudity (topless) own patricia rozema religion,3.5847,236
50,"Usual Suspects, The",1995,629,,,Crime Mystery Thriller,twist ending kevin spacey suspense complicated organized crime heist conspiracy excellent script,4.3344,47006
51,Guardian Angel,1994,117164,,,Action Drama Thriller,,2.5556,27
52,Mighty Aphrodite,1995,11448,,,Comedy Drama Romance,woody allen adoption clv erlend's dvds oscar (best supporting actress) prostitution seen at the cinema watched 1995,3.5411,9320
53,Lamerica,1994,49133,,,Adventure Drama,gianni amelio immigrants netflix on hold not perrot library,3.6967,150
54,"Big Green, The",1995,26441,,,Children Comedy,holly goldberg sloan soccer,2.8546,956
55,Georgia,1995,97406,,,Drama,100 essential female performances musicians,3.2412,939
56,Kids of the Round Table,1995,124057,,,Adventure Children Fantasy,,1.8714,70
57,Home for the Holidays,1995,9089,,,Drama,dysfunctional family robert downey jr boring jodie foster lovable,3.3245,2439
58,"Postman, The (Postino, Il)",1994,11010,,,Comedy Drama Romance,italian bittersweet romance poetry poets beautifully filmed writers pablo neruda writing beautiful scenery,3.9784,11549
59,"Confessional, The (Confessionnal, Le)",1995,99040,,,Drama Mystery,1.5 robert lepage,3.5602,191
60,"Indian in the Cupboard, The",1995,11359,,,Adventure Children Fantasy,based on book frank oz indians magic steve coogan,3.1144,6313
61,Eye for an Eye,1996,17182,,,Drama Thriller,clv john schlesinger vigilante,3.3231,2281
62,Mr. Holland's Opus,1995,2054,,,Drama,inspirational music emotion high school richard dreyfuss sappy teacher classical music,3.7318,19381
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,10607,,,Comedy Crime,wayans brothers funny when your 10. less funny when your not. goofy parody,3.0666,2334
64,Two if by Sea,1996,19760,,,Comedy Romance,bill bennett sandra bullock,2.8298,2086
65,Bio-Dome,1996,9536,,,Comedy,pauly shore polly shore buddy comedy can't remember golden raspberry (worst actor) jason bloom nostalgia critic not funny,2.3942,4864
66,Lawnmower Man 2: Beyond Cyberspace,1996,11525,,,Action Sci-Fi Thriller,crap imdb bottom 100 cyberpunk,2.1442,2371
67,Two Bits,1995,40628,,,Drama,al pacino coming of age perrot library,3.35,170
68,French Twist (Gazon maudit),1995,4482,,,Comedy Romance,bisexual love triangle nudity (full frontal - notable) nudity (full frontal) queer vhs,3.437,1238
69,Friday,1995,10634,,,Comedy,ice cube friendship chris tucker funny great soundtrack ghetto stupid last comment bgab lrc,3.5606,4288
70,From Dusk Till Dawn,1996,755,,,Action Comedy Horror Thriller,quentin tarantino vampires cult classic cult film violence twist ending george clooney robert rodriguez,3.2775,12712
71,Fair Game,1995,11859,,,Action,nudity (topless),2.3552,1295
